jurisdiction,citation_bill,short_title,status,enacted_date,effective_date,operative_date,who_regulated,hook,carve_outs,enforcer,private_suit,statutory_damages,cure_period,primary_url,class_collective,plaintiffs_together,fee_shifting,arbitration_class_waiver,notice_cure,nexus,out_of_state_actor,choice_of_law_forum,no_extraterritorial_clause,insurance_situs,thresholds,retroactivity,limitations_period,safe_harbor,local_preemption,criminal_overlay,litigation_status,federal_preemption,ai_definition,impact_assessment_discoverable,waiver_indemnity_ban,record_retention,last_checked,summary
CA,"Cal. Bus. & Prof. Code §§ 22757–22757.6 (SB 942, Stats. 2024, ch. 291, as amended by AB 853, Stats. 2025, ch. 674)",California AI Transparency Act,in force (core chapter); delayed (platform/hosting 2027; capture devices 2028),2024-09-19 (SB 942); 2025-10-13 chaptered (AB 853; confirm calendar on LegInfo),2025-01-01 (SB 942); 2026-01-01 (AB 853 amendments),"2026-08-02 (ch. 25 generally, § 22757.6); 2027-01-01 (§§ 22757.3.1–.3.2); 2028-01-01 (§ 22757.3.3 capture devices first sold on/after that date)","Covered GenAI providers (>1M monthly users, publicly accessible in CA); large online platforms (>2M unique monthly users); GenAI hosting platforms; capture-device manufacturers; third-party licensees of covered GenAI",GenAI detection tool; optional manifest disclosure; required latent/provenance disclosure; platforms must detect/preserve provenance; hosting platforms may not knowingly host non-disclosing GenAI,"Does not apply to products/services/sites/apps that provide exclusively non-user-generated video game, TV, streaming, movie, or interactive experiences (§ 22757.5). Large online platform excludes broadband and telecommunications services.","Attorney General, city attorney, or county counsel",none,"$5,000 civil penalty per violation (public enforcer); each day a discrete violation; attorney's fees to prevailing plaintiff in that public action. Not a private statutory-damages PRA.",none in statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&chapter=25.&article=,silent,stacking — each day a discrete violation (§ 22757.4(b)); public action only,yes — prevailing plaintiff (AG/city attorney/county counsel) reasonable attorney’s costs and fees (§ 22757.4(a)(2)); also fees on licensee injunction (§ 22757.4(c)),silent,silent (none in chapter),"covered provider: GenAI system with >1,000,000 monthly visitors or users and publicly accessible within the geographic boundaries of the state (§ 22757.1(d)); hosting platform: download of source code/model weights by a resident of the state (§ 22757.1(g)); capture devices produced for sale in the state","hosting platform that makes GenAI weights/code available for download by a resident of the state, regardless of compensation (§ 22757.1(g))",silent,silent,n/a,">1,000,000 monthly visitors or users (covered provider); large online platform >2,000,000 unique monthly users in preceding 12 months",operative 2026-08-02 generally; platform/hosting 2027-01-01; capture devices first produced for sale in CA on/after 2028-01-01 — not a general retroactivity clause,silent,silent,silent,civil-only,silent,silent,"GenAI system: an artificial intelligence that can generate derived synthetic content, including text, images, video, and audio, that emulates the structure and characteristics of the system’s training data (§ 22757.1)",silent,silent,detection-tool content: not longer than necessary to comply; may not retain personal provenance data from submitted content (§ 22757.2(c)) — no year count,2026-09-02,"Chapter 25 requires covered GenAI providers to offer a free detection tool, optional manifest labels, and latent provenance in image/video/audio outputs, and to contractually preserve that capability in licensees. AB 853 added large-platform provenance UI duties (operative 2027), hosting-platform bans on non-disclosing models (2027), and default latent capture-device watermarks for devices first produced for sale in CA on or after 1 Jan 2028. Enforcement is a $5,000-per-day civil penalty action by the AG, city attorney, or county counsel; the chapter does not create a consumer PRA."
CA,"Cal. Civ. Code §§ 3110–3111 (AB 2013, Stats. 2024, ch. 817)",Generative AI training data transparency,in force,2024-09-28,2025-01-01,2026-01-01 (first posting deadline),"Developers that design, code, produce, or substantially modify a GenAI system/service for use by members of the public (systems released on/after 2022-01-01)","Website documentation of training datasets (sources, types, IP status, PI, cleaning, collection window, synthetic data)",Affiliate/hospital medical-staff internal users excluded from 'members of the public.' No documentation required if the system's sole purpose is security and integrity; operation of aircraft in national airspace; or national security/military/defense made available only to a federal entity.,unconfirmed — chaptered bill text reviewed through § 3111 contains no AG/CPPA/PRA clause,unconfirmed (none in chaptered text reviewed),none in chaptered text reviewed,none in chaptered text reviewed,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2013,silent,silent,silent,silent,silent,"system or service made publicly available to Californians for use, regardless of compensation (§ 3111)",silent (duty attaches when the system is made publicly available to Californians; no separate OOS-developer clause),silent,silent,n/a,none,applies to GenAI released on or after 2022-01-01; first posting deadline 2026-01-01 (§ 3111),silent,silent,silent,silent,silent,silent (national-security exception if made available only to a federal entity — not a preemption clause),"AI: engineered or machine-based system that varies in autonomy and can, for explicit or implicit objectives, infer from input how to generate outputs that can influence physical or virtual environments. GenAI: AI that can generate derived synthetic content such as text, images, video, and audio that emulates the structure and characteristics of the AI’s training data (§ 3110)",silent,silent,silent,2026-09-02,"By 1 Jan 2026 and before each public California release or substantial modification of a GenAI system first released on or after 1 Jan 2022, the developer must post high-level training-data documentation covering dataset sources, types, IP/license status, personal information, processing, collection dates, and synthetic-data use. The posting duty is public and website-based. The chaptered bill as reviewed does not itself state a private right of action, statutory damages, or a named enforcer; those items are unconfirmed from the statute."
CA,"Cal. Bus. & Prof. Code §§ 22601–22606 (SB 243, Stats. 2025, ch. 677)",Companion chatbots,in force,2025-10-13,2026-01-01 (default non-urgency),2026-01-01; annual OSP reports begin 2027-07-01 (§ 22603),Operators that make a companion-chatbot platform available to a user in California,"Companion chatbot (anthropomorphic, relationship-sustaining GenAI); disclosure if a reasonable person would think it is human; self-harm protocol; extra minor safeguards",Not a companion chatbot: customer-service/ops/productivity bots; video-game bots limited to game topics; stand-alone speaker/voice-assistant devices that do not sustain a relationship or elicit emotional responses.,Private suit under § 22604–22605; other law remains cumulative. No exclusive public enforcer named in the chapter.,PRA,"$1,000 per violation or actual damages, whichever greater; plus injunctive relief and reasonable attorney's fees (§ 22605)",none in statute,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB243,silent,"stacking — $1,000 per violation or actual, whichever greater (§ 22605); plaintiff is a person who suffers injury in fact",yes — injured person may recover reasonable attorney’s fees and costs (§ 22605(c)),silent,silent (none in chapter),operator: a person who makes a companion chatbot platform available to a user in the state (§ 22601(e)),silent (hook is making the platform available to a user in the state),silent,silent,n/a,none,silent,silent,silent,silent,civil-only,silent,"silent (sexually explicit conduct cross-cites 18 U.S.C. § 2256 — definitional, not preemption)","AI: engineered or machine-based system that varies in autonomy and can, for explicit or implicit objectives, infer from the input it receives how to generate outputs that can influence physical or virtual environments (§ 22601(a))",silent,silent,silent,2026-09-02,"Operators of companion-chatbot platforms must disclose that the bot is not human when a reasonable person would be misled, maintain and publish a protocol to prevent suicidal/self-harm content (including crisis-line referrals), and, for known minors, disclose AI use, remind every three hours, and block specified sexual content. Beginning 1 Jul 2027 operators must annually report crisis referrals and protocols to the Office of Suicide Prevention. A person who suffers injury in fact may sue for the greater of actual damages or $1,000 per violation, injunction, and fees."
CA,"Cal. Bus. & Prof. Code §§ 4999.8–4999.9 (AB 489, Stats. 2025, ch. 615)",Health care professions: deceptive AI terms or letters,in force,2025-10-11,2026-01-01 (default non-urgency),same as effective,"Persons/entities that develop or deploy AI or GenAI whose advertising or functionality uses healing-arts titles, letters, or phrases","AI/GenAI that implies licensed human health-care professional advice, care, reports, or assessments",Does not create a standalone insurance-code duty. Limited to terms regulated in BPC Division 2 (healing arts).,Appropriate health-care professional licensing board or enforcement agency; injunctive relief under BPC § 125.5. Also expands existing criminal title-use prohibitions.,none in this chapter,none specified in this chapter (each use is a separate violation; penalties track underlying healing-arts title statutes — amounts unconfirmed here),none in this chapter,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB489,silent,silent,silent in this chapter (injunction under BPC § 125.5),silent,silent,silent in this chapter (developers/deployers of AI/GenAI using healing-arts titles; no in-state hook restated here),silent,silent,silent,n/a,none,silent,silent,silent,silent,also crime — act expands existing title-use crimes (reimbursement finding: creates a new crime/infraction or changes the definition of a crime),silent,silent,AI has the meaning in Gov. Code § 11546.45.5; GenAI has the meaning in Gov. Code § 11549.64 (§ 4999.8),silent,silent,silent,2026-09-02,"AB 489 makes existing healing-arts title-protection statutes enforceable against developers and deployers of AI/GenAI that use licensed titles in advertising or functionality, and independently prohibits AI from implying that care/advice is provided by a licensed natural person. Each use of a prohibited term is a separate violation. Boards may seek injunctions; the bill expands the scope of existing crimes rather than creating a consumer PRA."
CA,"Cal. Health & Safety Code § 1367.01(k); Cal. Ins. Code § 10123.135(j) (SB 1120, Stats. 2024, ch. 879)","Health coverage utilization review: AI, algorithms, and software tools",in force,2024-09-28,2025-01-01,same as effective,"Knox-Keene health care service plans (DMHC), including specialized plans, and disability insurers covering hospital/medical/surgical (CDI), plus UR/UM contractors and delegated medical groups/IPAs","AI, algorithm, or other software tool used for utilization review/management based in whole or in part on medical necessity",Medi-Cal managed care only to the extent DHCS obtains federal approvals and FFP is not jeopardized. Prayer/spiritual healing exception in HSC § 1367.01(m) remains. Does not recast a plan/insurer as a 'health care provider' for MICRA-type statutes.,DMHC Director (administrative penalties; medical survey) for plans; Insurance Commissioner (administrative penalties) for disability insurers. Willful Knox-Keene violation remains a crime.,none created by SB 1120 (existing Knox-Keene/Insurance Code remedies unconfirmed as a new PRA),none specified in the AI subdivisions; administrative penalties under existing UR statutes (amounts not restated in the AI add-on),none specific to the AI subdivisions,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB1120,silent,silent,silent in the AI subdivisions,silent,silent in the AI subdivisions,silent in the AI add-on (Knox-Keene plans and specified disability insurers; no issued/delivered clause in SB 1120 text reviewed),silent,silent,silent,silent (no delivered/issued-in-state clause in the AI subdivisions; UR/UM of covered plans/insurers),none in the AI subdivisions,silent,silent,silent,silent,also crime — willful Knox-Keene violation remains a crime (existing overlay; SB 1120 does not restate it in the AI subdivisions),silent,silent (Medi-Cal only to the extent DHCS obtains federal approvals — not a preemption clause),"silent as a standalone AI definition; statute regulates an AI, algorithm, or other software tool used for UR/UM based in whole or in part on medical necessity",silent,silent,silent,2026-09-02,"Plans and disability insurers that use AI/algorithms/software for medical-necessity UR/UM, or that contract with entities that do, must base tool determinations on the individual clinical record (not solely a group dataset), apply criteria fairly and without unlawful discrimination, keep the tool auditable, disclose use in UR policies, and periodically review performance. The tool may not deny, delay, or modify services on medical necessity; only a licensed physician or competent licensed clinician may make that determination after reviewing the request and clinical history."
CA,"Cal. Health & Safety Code § 1339.75 (AB 3030, Stats. 2024, ch. 848)",Artificial intelligence in health care services (patient communications),in force,2024-09-28 (ch. 848),2025-01-01,same as effective,"Health facilities, clinics, physician offices, and group-practice offices that use GenAI to generate written or verbal patient communications about clinical information",GenAI-generated patient clinical communications (not mere billing/scheduling),"If a human licensed/certified provider reads and reviews the communication, the disclaimer/contact duties do not apply. Administrative/billing/scheduling communications are outside 'patient clinical information.'",CDPH facility/clinic licensing enforcement (HSC arts. starting §§ 1275 and 1225); Medical Board or Osteopathic Medical Board for physicians,none in this section,none in this section,none in this section,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=1339.75.,silent,silent,silent,silent,silent,"silent in § 1339.75 (health facilities, clinics, physician/group offices; no extra in-state hook)",silent,silent,silent,n/a,none,silent,silent,duties do not apply if a licensed/certified human provider reads and reviews the communication (§ 1339.75),silent,civil-only (existing facility/board enforcement; no new crime in this section),silent,silent,silent in this section beyond generative artificial intelligence used to generate patient clinical communications,silent,silent,silent,2026-09-02,"Covered providers that use GenAI to generate clinical patient communications must include a medium-specific disclaimer that the communication was AI-generated and clear instructions to reach a human. The duty does not apply if a licensed/certified human provider reads and reviews the output. Violations run through existing facility, clinic, and medical-board enforcement, not a new PRA."
CA,"Cal. Bus. & Prof. Code §§ 22757.10–22757.16; Cal. Lab. Code §§ 1107–1107.2 (SB 53, Stats. 2025, ch. 138)",Transparency in Frontier Artificial Intelligence Act,in force,2025-09-29,2026-01-01 (default non-urgency),same as effective (CalCompute consortium operative only upon appropriation),Frontier developers (foundation models trained above 10^26 FLOP); additional duties on large frontier developers (>$500M prior-year group revenue),"Frontier/foundation models and catastrophic-risk governance, transparency reports, critical-safety-incident reporting, whistleblower protections","Does not apply to the extent of a strict conflict with a federal-government contract or federal preemption. Preempts local catastrophic-risk rules adopted on/after 2025-01-01. Equity-value loss is not 'property' damage. Redactions allowed for trade secrets, cybersecurity, public safety, national security.",Attorney General (civil penalty for TFAIA noncompliance). OES receives incident/risk reports. Whistleblower civil action under Labor Code § 1107.1.,"none for the BPC transparency chapter; PAG/PRA for covered-employee whistleblower claims (Lab. Code § 1107.1, fees to successful plaintiff)","AG civil penalty not to exceed $1,000,000 per violation (severity-dependent) for specified TFAIA breaches. Whistleblower chapter: no liquidated amount; fees authorized.",none in BPC chapter,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53,silent,silent,yes — court may award reasonable attorney’s fees to a plaintiff who brings a successful whistleblower action (Lab. Code § 1107.1(f)); BPC AG penalties silent on private fees,silent,silent in BPC chapter,"silent (frontier/large-frontier developer definitions are compute/revenue, not residence)",silent,silent,silent,n/a,"frontier model: trained using computing power greater than 10^26 integer or floating-point operations; large frontier developer: >$500,000,000 prior-year group revenue (chaptered SB 53)",silent,silent,silent,yes — preempts any local rule/ordinance adopted on or after 2025-01-01 specifically related to regulation of frontier developers’ management of catastrophic risk (SB 53),civil-only (BPC civil penalty + labor whistleblower civil action),silent,"cite — act shall not apply to the extent it strictly conflicts with a federal-government-entity contract, and shall not apply to the extent it is preempted by federal law (SB 53)","frontier/foundation model: foundation model trained above 10^26 FLOP; foundation model = AI model trained on a broad data set, designed for generality of output, adaptable to a wide range of distinctive tasks (SB 53)",silent (framework/transparency reports are public-facing with redactions; no private-discovery clause),silent,silent as a year count (incident reporting windows 15 days / 24 hours),2026-09-02,"Large frontier developers must publish and follow a frontier AI framework covering catastrophic-risk thresholds, mitigations, third-party evaluation, cybersecurity of unreleased weights, and incident response, plus quarterly internal-use risk summaries to OES. All frontier developers must publish a transparency report on deploy and report critical safety incidents (15 days, or 24 hours if imminent death/serious injury). The AG may recover up to $1 million per violation of specified duties. Covered employees have anti-retaliation and anonymous internal-reporting rights; successful whistleblower plaintiffs may recover attorney's fees."
CA,"Cal. Lab. Code § 927 (AB 2602, Stats. 2024) — digital replica contract clause",Digital replica clauses in personal/professional services contracts,in force,2024 (chaptered; confirm exact day on LegInfo bill history),2025-01-01,Applies to new performances fixed on or after 2025-01-01,Parties to personal/professional services agreements that purport to authorize a digital replica of an individual's voice or likeness,Computer-generated highly realistic digital replica of voice/visual likeness used in lieu of the individual's performance,"Clause remains enforceable if specified conditions (including reasonably specific intended uses, and union representation where applicable) are met — exact remaining conditions should be read from § 927. First Amendment/work-consistent uses described in the statute.",Contract unenforceability (private litigation); no new public enforcer in the bill digest reviewed,PRA (as contract unenforceability / existing civil remedies); not a new statutory-damages PRA,"none in the bill text reviewed (unenforceability, not liquidated damages)",none,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2602,silent,silent,silent,silent,silent,silent,silent,silent,silent,n/a,none,unenforceability only as to a new performance fixed on or after 2025-01-01 (§ 927(a)),silent,clause remains enforceable if reasonably specific intended uses (or uses consistent with the contract and fundamental character) and specified counsel/union representation (§ 927(a)(2)–(3)),silent,civil-only (unenforceability),silent,silent,"n/a as AI/ADS — digital replica means a computer-generated, highly realistic electronic representation readily identifiable as the voice or visual likeness of an individual (§ 927(c))",silent,silent,silent,2026-09-02,"A contract clause that allows a new digital-replica performance of an individual, fixed on or after 1 Jan 2025, is unenforceable as to that replica if statutory conditions on consent and description of intended uses are not met. 'Digital replica' is a computer-generated highly realistic electronic representation readily identifiable as the person's voice or visual likeness. The remedy in the chaptered bill is unenforceability of the replica clause, not a new liquidated-damages PRA."
CA,"Cal. Civ. Code § 3344.1(a)(2) (AB 1836, Stats. 2024, ch. 258)",Deceased personality digital replica,in force,2024-09-17 (signed/chaptered),2025-01-01,same as effective (post-mortem right remains 70 years),"Persons who produce, distribute, or make available the digital replica of a deceased personality's voice or likeness in an expressive audiovisual work or sound recording without prior consent from the post-mortem rights holder (and, for professional musicians, exclusive recording/distribution counterparties per (n))",Deceased-personality digital replica in expressive AV works / sound recordings (computer-generated highly realistic voice or likeness),"News, public affairs, or sports; comment, criticism, scholarship, satire, or parody; documentary/historical/biographical representation (including some fictionalization) unless intended to and does create a false impression that the work is an authentic recording; fleeting/incidental use; ads for those exempt works. Advertising-media owners/employees lack liability without knowledge (§ 3344.1(l)). No express insurance/GLBA carve-out in text reviewed.",Private rights-holders (PRA),PRA,"Greater of $10,000 or actual damages suffered by a person controlling the rights to the deceased personality's likeness (§ 3344.1(a)(2)(A)(i)). Preexisting merchandise/ad cause of action remains greater of $750 or actual, plus profits/punitive/fees. No cure.",none,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1836,silent,prevailing party or parties; rights-holder controlling the deceased personality’s likeness (§ 3344.1),yes — prevailing party or parties entitled to attorney’s fees and costs (§ 3344.1),silent,silent (none),"quote — liability and damages arise from acts occurring directly in this state; acts giving rise to liability limited to use on or in products, merchandise, goods, or services, or the advertising or selling or soliciting of purchases of products etc. (§ 3344.1)",silent,silent,yes — liability/damages limited to acts occurring directly in this state (§ 3344.1),n/a,none,"quote — rights recognized by this section are expressly made retroactive, including to deceased personalities who died prior to January 1, 1985 (§ 3344.1(q))",silent,silent,silent,civil-only,silent,silent,n/a as AI/ADS — digital replica of deceased personality’s voice or likeness (computer-generated highly realistic),silent,silent,silent,2026-09-02,"AB 1836 adds Civ. Code § 3344.1(a)(2): producing, distributing, or making available a digital replica of a deceased personality's voice or likeness in an expressive audiovisual work or sound recording without specified prior consent is independently actionable. The plaintiff may recover the greater of $10,000 or actual damages. First Amendment-style exemptions are in (a)(2)(A)(ii). This is not a general deepfake-porn statute."
CO,C.R.S. §§ 6-1-1701 et seq. as reenacted by SB 26-189 (2026 Sess. Laws ch. 131); repeals/replaces SB 24-205,Automated Decision-Making Technology in Consequential Decisions,delayed,2026-05-14,2027-01-01,2027-01-01; applies to decisions on or after that date (developer documentation duties also start then),"Developers and deployers of covered ADMT that materially influences a consequential decision (education, employment, housing, financial/lending, insurance, health care, essential government services/public benefits)","Automated decision-making technology (predictions/recommendations/classifications/rankings/scores) that materially influences a consequential decision, including insurance","Session-law 6-1-1708(1)(a) (2026 Ch. 131): an insurer as defined in § 10-1-102(13) and affiliated entities subject to § 10-3-1104.9 ARE IN COMPLIANCE WITH THIS PART 17 IN THE PRACTICE OF INSURANCE. (1)(b) fallback: if not deemed in compliance, insurer still must give 6-1-1704(3) adverse-outcome notice to the extent applicable. (2) employment / employment-opportunity ADMT is NOT carved out. (6) GLBA is a disclosure limit (no duty to disclose nonpublic personal information in a manner that would violate GLBA), not an entity exemption. HIPAA covered entities/BAs: 6-1-1701–1706 do not apply except employment ADMT (health-care providers only if operating from a Colorado location). No <50-FTE deployer exemption (that SB 24-205 relief did not survive). No new PRA (6-1-1709).",Colorado Attorney General exclusive for the ADMT disclosure/consumer-rights duties (6-1-1706); violation = CCPA deceptive trade practice,none (6-1-1709: nothing in part 17 creates a new private right of action; AG exclusive for 6-1-1702–1705 via CCPA DTP),none private. Violation is a deceptive trade practice (6-1-105(1)(uuuu); 6-1-1706). CCPA AG civil penalties (commonly 6-1-112) — amounts not restated in Ch. 131.,"60-day notice-and-cure if cure is possible, for AG actions initiated before 2030-01-01 (legislative summary)",https://www.leg.colorado.gov/bills/sb26-189,silent (no class bar/invitation; 6-1-1706(6) preserves CRCP 19/20 joinder for existing-law actions),no new PRA (6-1-1709 / 6-1-1706(4)); CRCP 19 and 20 joinder allowed in actions arising under existing law (6-1-1706(6)); fault allocated by relative fault; no new joint-and-several (6-1-1707),silent in part 17 (CCPA AG enforcement vehicle),silent,"60-day AG notice-and-cure if AG deems cure possible, before enforcement; not required if knowing or repeated violation; subsection (3) repeal 2030-01-01 (6-1-1706(3))","deployer = person doing business in Colorado that deploys a covered ADMT; developer = person doing business in Colorado that develops/offers/sells/leases/licenses covered ADMT; consumer includes employee, CO-resident job applicant, and any individual whose access/eligibility/opportunity in Colorado is evaluated in a consequential decision by a person doing business in Colorado (6-1-1701)",silent as a labeled OOS-developer clause (hook is doing business in Colorado),silent,silent,"silent (insurance is a covered domain including underwriting, pricing, coverage, claims adjudication; 6-1-1708 deemed-compliance for 10-3-1104.9 insurers in the practice of insurance — no issued/delivered clause)",none (no <50-FTE deployer exemption in Ch. 131),applies to decisions on or after 2027-01-01 (session law),silent,silent,silent,civil-only (CCPA DTP / AG),silent,"silent (GLBA cited as a disclosure limit, 6-1-1708(6); FERPA/HIPAA exemptions — not a preemption clause)",covered ADMT: automated decision-making technology used to materially influence a consequential decision (predictions/recommendations/classifications/rankings/scores) (6-1-1701),silent (developer/deployer must retain compliance records >=3 years; no private-discovery clause; no PRA),yes — developer-deployer indemnity for own acts/omissions related to ADMT use in CADA/other CO anti-discrimination violations is contrary to public policy and void (6-1-1707(7)),"developer: not less than 3 years after creation of a record required under 6-1-1702; deployer: not less than 3 years after the date of a consequential decision (6-1-1702(4), 6-1-1703)",2026-09-02,"SB 26-189 repeals the never-operative 2024 high-risk AI act and, effective 1 Jan 2027, regulates ADMT used to materially influence consequential decisions, expressly including insurance. Insurers subject to § 10-3-1104.9 are in compliance with part 17 in the practice of insurance (6-1-1708(1)(a)); employment ADMT remains covered; GLBA limits disclosures rather than exempting the entity. 6-1-1709: no new PRA. AG enforces as a deceptive trade practice, with a 60-day cure before 2030 if cure is possible."
